Street Number	Street Name	Street Side	Skytrain Station Name	BIA	Number of Racks	Year Installed
1351	Adanac St	North			2	2015
1375	Adanac St	North			1	2015
55	Alexander St	North		GT	1	Prior 2010
90	Alexander St	South		GT	10	2013
305	Alexander St	North		STRC	1	2012
320	Alexander St	South		STRC	2	2014
429	Alexander St	North			2	2015
475	Alexander St	North		STRC	2	2012
611	Alexander St	North			3	2015
200	Alexander St	North		STRC	2	2012
2576	Arbutus St	East			1	2015
2620	Arbutus St	East			1	2015
2630	Arbutus St	East			1	2015
2680	Arbutus St	East			1	2015
2738	Arbutus St	East			1	2015
5723	Balsam St	West			2	Prior 2010
1447	Barclay St	North			1	2013
2486	Bayswater St	East		WB	1	2011
546	Beatty St	East			1	2011
550	Beatty St	East		n/a	2	2016
590	Beatty St	East	Stadium-Chinatown		2	2012
600	Beatty St	East		n/a	2	2016
620	Beatty St	East		n/a	6	2016
773	Beatty St	West		n/a	3	2016
780	Beatty St	East			2	2011
780	Beatty St	East		n/a	1	2016
837	Beatty St	West			1	2011
855	Beatty St	East		n/a	2	2016
857	Beatty St	West		YT	2	2016
869	Beatty St	West		YT	1	2016
928	Beatty St	East		n/a	7	2016
939	Beatty St	West		YT	1	2016
2400	Birch St	West			1	2012
2400	Blenheim St	East		WB	1	2011
3190	Blenheim St	East			1	Prior 2010
1300	Broughton St	West			2	2012
550	Burrard St	East			1	Prior 2010
635	Burrard St	West	Burrrad		4	2012
1081	Burrard St	West			3	2012
1157	Burrard St	West			1	2015
1160	Burrard St	East			1	2015
1238	Burrard St	East			1	2015
1310	Burrard St	East			1	2015
1350	Burrard St	East			1	2015
2110	Burrard St	East			2	Prior 2010
2385	Burrard St	West			1	Prior 2010
2421	Burrard St	West			1	Prior 2010
580	Bute St	East			3	2015
800	Bute St	West			1	2012
936	Bute St	East			2	Prior 2010
300	Cambie St	East			1	Prior 2010
317	Cambie St	West		CB	1	2016
340	Cambie St	East		CB	2	2016
440	Cambie St	East		n/a	1	2016
891	Cambie St	West		YT	3	2014
896	Cambie St	South		YT	2	2016
2931	Cambie St	West		CB	1	2016
4008	Cambie St	East		CB	2	2016
4023	Cambie St	West		CB	2	2016
4033	Cambie St	West		CB	1	2016
4099	Cambie St	West	King Edward		22	2012
511	Carrall St	West			2	2012
620	Clark Drive	East			1	2015
1269	Clark Drive	West			2	2015
211	Columbia St	West		GT	1	2012
351	Columbia St	East			1	2014
2021	Columbia St	West			2	2012
1380	Commercial Dr	East			2	2013
1034	Commercial Drive	East			1	2012
1404	Commercial Drive	East			1	Prior 2010
1505	Commercial Drive	West			1	Prior 2010
1592	Comox St	South			1	Prior 2010
1700	Comox St	North			3	2010
1733	Comox St	North			5	Prior 2010
2210	Cornwall Av	South			2	2015
1105	Davie St	North			2	Prior 2010
1202	Davie St	South			1	Prior 2010
1204	Davie St	South			2	Prior 2010
1232	Davie St	South			1	2015
1295	Davie St	North			1	2015
1641	Davie St	North			1	Prior 2010
710	Denman St	East			2	Prior 2010
718	Denman St	East			1	Prior 2010
745	Denman St	West			1	Prior 2010
849	Denman St	West			2	2015
958	Denman St	East			1	Prior 2010
961	Denman St	West			1	Prior 2010
1055	Denman St	West		WE	2	2013
1184	Denman St	East			3	2011
1184	Denman St	East			1	2015
1187	Denman St	West			1	Prior 2010
